"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"Horizon Europe Guarantee","10083643","NPL MANAGEMENT LIMITED",,"EU-Funded","Yusuf","Lanre","","",,,,"","Transportable optical clocks for key comparisons - 22IEM01 TOCK","30/04/2023","29/04/2026","127154",,"London","Active","http://gtr.ukri.org/projects?ref=10083643","042D123F-3FC8-4248-905F-0059EA2E35A2","240CEBFD-1052-4EAC-88DF-D88A163D61C8","E8C66154-79EA-4DA0-B6CC-107B17DE6851","1F226FE0-A7D8-4276-86D0-BB2F8FB53C07"
"Horizon Europe Guarantee","10041365","INGENZA LIMITED",,"EU-Funded","Fotheringham","Ian","","",,,,"","BIOS: The bio-intelligent DBTL cycle, a key enabler catalysing the industrial transformation towards sustainable biomanufacturing","30/09/2022","29/09/2026","510566",,"Scotland","Active","http://gtr.ukri.org/projects?ref=10041365","029E1AEB-691D-4963-80A5-01AE5BFC1101","240CEBFD-1052-4EAC-88DF-D88A163D61C8","B97B268B-6517-444A-AB3D-16F939CD2BA5","07338F39-555D-4486-9FA0-6EFC7E051F99"
"Horizon Europe Guarantee","EP/X021009/1","University of South Wales","Faculty of Computing, Eng. and Science","Fellowship","Ganesan","Sathiyanarayanan","","",,,,"","Sustainable Bioconversion of CO2 to Polyhydroxyalkanoates Biopolymer by Anaerobic Mixed Bacteria in a Single-Stage Gas Fermentation (CO2BIOPOL)","26/09/2022","25/09/2024","204031",,"Unknown","Active","http://gtr.ukri.org/projects?ref=EP/X021009/1","BF0DBC85-3B76-4934-A572-010CDE136122","240CEBFD-1052-4EAC-88DF-D88A163D61C8","E8B31A8C-F080-4136-AB33-FE40EA612275","D0814CB6-7E60-4F4B-A33A-24D2F5AA81A7"
"Horizon Europe Guarantee","EP/X027562/1","University of Warwick","Physics","Research Grant","Armstrong","David John","","",,,,"","INNATE Investigating the nature and origins of exoplanets in the Neptunian desert","15/12/2022","14/12/2027","1323765",,"West Midlands","Active","http://gtr.ukri.org/projects?ref=EP/X027562/1","BBAD08CB-426F-4ED0-8C04-00981DAE0912","240CEBFD-1052-4EAC-88DF-D88A163D61C8","67A6BA65-E85D-4F6B-A1F0-DA031C2469B3","48F521D7-2C73-485C-A2C4-0848D173E114"
"Horizon Europe Guarantee","10068325","BLUE SKIES SPACE LTD",,"EU-Funded","Tessenyi","Marcell","","",,,,"","MAUVE - Horizon Europe Guarantee","01/11/2022","31/10/2025","258749",,"London","Active","http://gtr.ukri.org/projects?ref=10068325","CF7146DA-7453-4407-B33E-00C0DC7DF402","240CEBFD-1052-4EAC-88DF-D88A163D61C8","D29D2D9E-F6E3-444B-8F26-8548D1A66904","7CCB9DBC-F468-4057-8594-CEB1E324F1BA"
"Horizon Europe Guarantee","10111012","ICONIQ INNOVATION LTD",,"EU-Funded","Ryley","Stephen","","",,,,"","ELectrochemical OXidation of cYclic and biogenic substrates for high efficiency production of organic CHEMicals","01/01/2024","29/06/2028","207571",,"East Midlands","Active","http://gtr.ukri.org/projects?ref=10111012","C9B76CFC-E447-4835-8B46-00A168BE01DE","240CEBFD-1052-4EAC-88DF-D88A163D61C8","F1B0DEB8-72E4-4688-8B76-77BEFB6450E4","55BA40DA-C24D-45A9-847C-1E4E76282A82"
"Horizon Europe Guarantee","10064816","VERIFI MEDIA LIMITED",,"EU-Funded","Bargfrede","Allen","","",,,,"","Fair MusE","01/03/2023","28/02/2026","109880",,"Wales","Active","http://gtr.ukri.org/projects?ref=10064816","D1512317-CD6D-45FD-AEFF-00CF59A0FC99","240CEBFD-1052-4EAC-88DF-D88A163D61C8","859D0584-9CDA-49D0-ACA2-D6693DE30702","80D49E28-8754-4ED5-AC40-5E891FFB5432"
"Horizon Europe Guarantee","EP/X031225/1","The Francis Crick Institute","Research","Fellowship","Boezio","Giulia","","http://orcid.org/0000-0002-7776-7985",,,,"","Multidimensional investigation of cellular dynamics and lineage relationships in the vertebrate neural tube","31/08/2023","30/08/2025","203795",,"Unknown","Active","http://gtr.ukri.org/projects?ref=EP/X031225/1","D75DB7A7-9E3B-430B-BF1A-01F9257C6EFE","240CEBFD-1052-4EAC-88DF-D88A163D61C8","2F2DE181-38FE-4906-9C10-5CADB3A0CC4D","B8604FC5-C654-4224-919E-0CCC305EC6FA"
"Horizon Europe Guarantee","10089082","UNIVERSITY OF SALFORD",,"EU-Funded","Hughes","Debbie","","",,,,"","Engage2innovate – Enhancing security solution design, adoption and impact through effective engagement and social innovation (E2i)","31/07/2023","31/01/2027","601672",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10089082","9EC8F269-1BF8-4494-96CD-02EB7E2F8A89","240CEBFD-1052-4EAC-88DF-D88A163D61C8","47611E8B-28EE-442F-9969-8001279D8B12","A8F459BA-30E6-43B3-997F-3919FF11F739"
"Horizon Europe Guarantee","10055510","VISIFISH LIMITED",,"EU-Funded","Douse","Raymond","","",,,,"","IGNITION","01/11/2022","31/10/2026","113435",,"London","Active","http://gtr.ukri.org/projects?ref=10055510","90ECA213-635E-434F-9B4E-04608FCF2FB5","240CEBFD-1052-4EAC-88DF-D88A163D61C8","43778728-8B61-4DAD-8BE4-7D76D7BE3417","88608CFF-5E1A-4D62-BE2F-188EE6726311"
"Horizon Europe Guarantee","EP/X022846/1","University of East Anglia","Sainsbury Laboratory","Fellowship","Wang","Min","","",,,,"","The mechanism of trans-kingdom sRNA trafficking in plant-pathogen interactions","31/08/2022","30/08/2024","204031",,"East of England","Active","http://gtr.ukri.org/projects?ref=EP/X022846/1","AC1471D5-A3CC-4D45-95AE-036909575702","240CEBFD-1052-4EAC-88DF-D88A163D61C8","C131DAC0-7FB4-4E59-B253-C6557AC44486","55BDFD10-9C01-4DFF-8879-0996DC4553C7"
"Horizon Europe Guarantee","EP/Y036751/1","University of Aberdeen","Engineering","Research Grant","Zhang","Yeshui","","http://orcid.org/0000-0003-0095-3015",,,,"","Hydrogen Production from Waste - HyWay","14/04/2024","13/04/2028","233755",,"Scotland","Active","http://gtr.ukri.org/projects?ref=EP/Y036751/1","9927ACDD-695D-4E8B-8015-026E739FDD6E","240CEBFD-1052-4EAC-88DF-D88A163D61C8","4240E98A-DD72-4426-9E1A-976004E82C1B","FD55D108-8456-48C5-BDB7-8FE25B07F323"
"Horizon Europe Guarantee","10068840","JONATHAN SMITH CONSULTING",,"EU-Funded","Smith","Jonathan","","",,,,"","XGain","31/08/2022","30/08/2025","98116",,"South West","Active","http://gtr.ukri.org/projects?ref=10068840","A66C31DC-D1E3-4AD7-B47B-0420A220F66F","240CEBFD-1052-4EAC-88DF-D88A163D61C8","B469A17B-0D5F-4A1B-80A0-38031034DC63","42ED9E22-BDE7-4394-B409-F9BBEA70C99D"
"Horizon Europe Guarantee","10073854","UNIVERSITY OF CAMBRIDGE",,"EU-Funded","Woodcock","James","","",,,,"","THE URBAN BURDEN OF DISEASE ESTIMATION FOR POLICY MAKING","01/01/2023","31/12/2026","617125",,"Unknown","Active","http://gtr.ukri.org/projects?ref=10073854","B1079164-54B9-4D22-831A-02B5C7D1933B","240CEBFD-1052-4EAC-88DF-D88A163D61C8","A7511831-607B-4196-A226-870292A6A98D","E4F883C5-9DC5-4DFF-BAED-F46101A56636"
"Horizon Europe Guarantee","EP/Y036069/1","University of Nottingham","Sch of Physics & Astronomy","Research Grant","Gammon-Smith","Adam","","http://orcid.org/0000-0002-6744-4592",,,,"","Towards a practical quantum advantage: Confronting the quantum many-body problem using quantum computers","01/02/2024","31/01/2029","1266683",,"East Midlands","Active","http://gtr.ukri.org/projects?ref=EP/Y036069/1","AE33AA3C-82A9-4E0C-A5D7-03FC7D167587","240CEBFD-1052-4EAC-88DF-D88A163D61C8","411FC677-E420-46F2-B7A2-346ECED37574","446A7F55-38E1-42D5-91D6-2BA8A557A25B"
